open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
46535.9,46655.55,46524.55,46632.6,46513.23,46537.13,46479.48,46484.21,46400.42,46411.26,46293.32,46343.38,46351.45,46356.72,46426.07,46426.07,83.28,64.27,19.01,72.51,66.66,87.5,83.41,-5.97,210.31,32.92,41.24,12.04,233.1,0.5,-0.0,76.61,46601.58,46400.42,46199.25,0.87,107.71,46655.55,46226.0,0.05,0.87,16.08,0.85,1,0,0,0,0,0.22,0.22,0.28,0.21,0.05,0.02,0.01,0.0,1,1,0.5,0.48,0.15,0.22
46635.3,46649.1,46581.25,46588.65,46548.7,46554.31,46495.05,46503.2,46417.78,46428.15,46295.49,46353.0,46352.51,46361.31,46426.33,46427.69,86.83,68.78,18.05,67.25,63.38,84.64,85.31,-22.29,163.37,34.48,38.61,11.28,155.7,0.34,-0.0,75.98,46620.98,46417.78,46214.58,0.88,92.05,46655.55,46226.0,0.14,0.78,16.26,0.85,1,0,0,0,0,-0.09,0.09,0.15,0.1,0.03,0.02,0.01,0.0,1,1,0.37,0.35,0.16,0.22
46593.65,46593.65,46516.5,46528.55,46564.6,46545.72,46501.72,46507.81,46429.56,46437.71,46295.72,46359.88,46352.97,46364.63,46426.21,46428.69,83.82,71.79,12.03,60.75,59.19,76.48,82.87,-42.31,76.58,34.65,35.82,16.54,66.75,0.14,0.0,76.07,46629.74,46429.56,46229.37,0.86,74.73,46655.55,46243.9,0.27,0.61,15.87,0.84,1,0,0,0,0,-0.13,0.13,0.17,0.14,0.0,0.03,0.01,0.0,1,1,0.21,0.2,0.16,0.22
46532.8,46568.1,46518.55,46561.7,46568.41,46551.05,46511.99,46517.61,46443.91,46449.52,46297.14,46367.8,46353.97,46368.53,46425.84,46430.02,83.15,74.06,9.09,62.88,60.69,68.04,76.39,-31.27,66.98,34.81,34.11,15.75,102.65,0.22,0.0,74.17,46638.7,46443.91,46249.12,0.84,80.23,46655.55,46243.9,0.2,0.68,15.31,0.82,1,0,0,0,0,0.07,0.07,0.11,0.06,0.01,0.03,0.01,0.0,1,1,0.25,0.24,0.16,0.22
46562.25,46594.7,46541.15,46591.15,46580.53,46564.41,46523.66,46530.98,46459.9,46463.01,46297.99,46376.56,46355.67,46372.94,46426.34,46431.62,84.03,76.06,7.98,64.71,62.0,67.89,70.8,-22.75,81.23,35.19,34.93,14.92,116.7,0.25,0.0,72.7,46647.78,46459.9,46272.03,0.81,84.93,46655.55,46243.9,0.14,0.75,14.69,0.81,1,0,0,0,0,0.06,0.06,0.11,0.06,0.01,0.05,0.0,0.0,1,1,0.28,0.28,0.17,0.21
46597.0,46630.2,46504.7,46504.7,46554.95,46544.51,46534.09,46526.2,46470.33,46466.98,46296.98,46381.58,46356.64,46375.55,46426.75,46432.35,76.87,76.22,0.65,55.97,56.24,64.23,66.72,-53.29,43.08,34.82,30.83,16.58,104.3,0.22,0.0,76.47,46643.26,46470.33,46297.4,0.74,59.94,46655.55,46256.35,0.32,0.53,12.75,0.72,1,0,0,0,1,-0.19,0.19,0.27,0.2,0.07,0.0,0.01,0.0,1,1,0.07,0.08,0.14,0.19
46510.15,46525.3,46475.95,46488.6,46534.94,46525.87,46541.82,46519.36,46480.61,46469.04,46296.89,46385.78,46357.34,46377.78,46426.93,46432.91,69.09,74.79,-5.7,54.5,55.23,55.0,62.37,-58.97,-17.58,33.95,29.37,18.55,77.3,0.17,0.0,74.53,46630.69,46480.61,46330.54,0.65,52.66,46655.55,46271.1,0.36,0.47,10.05,0.6,1,0,0,0,0,-0.03,0.03,0.11,0.05,0.03,0.03,0.01,0.0,1,1,0.02,0.04,0.12,0.17
46495.25,46500.3,46434.0,46440.65,46517.36,46497.47,46540.98,46505.05,46483.77,46466.34,46296.36,46387.93,46357.37,46379.03,46427.19,46432.98,58.39,71.51,-13.12,50.25,52.31,37.28,52.17,-75.91,-64.06,32.41,27.49,21.41,-8.4,-0.02,0.0,73.95,46627.56,46483.77,46339.98,0.62,35.01,46655.55,46355.4,0.46,0.18,7.85,0.4,1,0,0,0,0,-0.1,0.1,0.14,0.12,0.01,0.01,0.01,0.0,1,1,-0.09,-0.06,0.12,0.16
46436.2,46450.85,46394.9,46394.9,46484.0,46463.28,46526.2,46485.02,46483.54,46459.53,46295.86,46388.2,46357.08,46379.34,46426.98,46432.61,45.69,66.35,-20.66,46.52,49.68,24.35,38.88,-92.07,-105.19,30.37,25.98,24.08,-147.75,-0.32,0.01,72.66,46627.88,46483.54,46339.21,0.62,19.29,46655.55,46355.4,0.56,0.09,5.25,0.18,1,0,0,0,0,-0.1,0.1,0.12,0.09,0.03,0.0,0.0,0.01,1,1,-0.19,-0.14,0.16,0.16
46398.75,46419.6,46371.8,46397.25,46445.22,46441.27,46512.88,46469.07,46484.52,46453.6,46296.29,46388.56,46356.78,46379.7,46426.18,46432.25,35.4,60.16,-24.75,46.74,49.82,13.66,25.1,-91.03,-118.38,28.27,24.73,25.25,-133.3,-0.29,0.01,70.88,46626.21,46484.52,46342.83,0.61,19.2,46655.55,46355.4,0.56,0.09,2.34,0.04,1,1,0,0,0,0.01,0.01,0.1,0.0,0.04,0.05,0.01,0.0,-1,1,-0.19,-0.12,0.18,0.16
